,Admin2,Province_State,Lat,Long_
202,AMETISTA DO SUL,RIO GRANDE DO SUL,-27.3607,-53.183
203,AMONTADA,CEARA,-3.3601699999999997,-39.8288
204,AMORINOPOLIS,GOIAS,-16.6151,-51.0919
205,AMPARO,PARAIBA,-7.55502,-37.0628
206,AMPARO,SAO PAULO,-22.7088,-46.772
207,AMPARO DE SAO FRANCISCO,SERGIPE,-10.1348,-36.935
208,AMPARO DO SERRA,MINAS GERAIS,-20.5051,-42.8009
209,AMPERE,PARANA,-25.9168,-53.4686
210,ANADIA,ALAGOAS,-9.68489,-36.3078
211,ANAGE,BAHIA,-14.6151,-41.1356
212,ANAHY,PARANA,-24.6449,-53.1332
213,ANAJAS,PARA,-0.9968110000000001,-49.9354
214,ANAJATUBA,MARANHAO,-3.26269,-44.6126
215,ANALANDIA,SAO PAULO,-22.1289,-47.6619
216,ANAMA,AMAZONAS,-3.5669699999999995,-61.3963
217,ANANAS,TOCANTINS,-6.36437,-48.0735
218,ANANINDEUA,PARA,-1.36391,-48.3743
219,ANAPOLIS,GOIAS,-16.3281,-48.953
220,ANAPU,PARA,-3.46985,-51.2003
221,ANAPURUS,MARANHAO,-3.6757699999999995,-43.1014
222,ANASTACIO,MATO GROSSO DO SUL,-20.4823,-55.8104
223,ANAURILANDIA,MATO GROSSO DO SUL,-22.1852,-52.7191
224,ANCHIETA,SANTA CATARINA,-26.5382,-53.3319
225,ANCHIETA,ESPIRITO SANTO,-20.7955,-40.6425
226,ANDARAI,BAHIA,-12.8049,-41.3297
227,ANDIRA,PARANA,-23.0533,-50.2304
228,ANDORINHA,BAHIA,-10.3482,-39.8391
229,ANDRADAS,MINAS GERAIS,-22.0695,-46.5724
230,ANDRADINA,SAO PAULO,-20.8948,-51.3786
231,ANDRE DA ROCHA,RIO GRANDE DO SUL,-28.6283,-51.5797
232,ANDRELANDIA,MINAS GERAIS,-21.7411,-44.3117
233,ANGATUBA,SAO PAULO,-23.4917,-48.4139
234,ANGELANDIA,MINAS GERAIS,-17.7279,-42.2641
235,ANGELICA,MATO GROSSO DO SUL,-22.1527,-53.7708
236,ANGELIM,PERNAMBUCO,-8.88429,-36.2902
237,ANGELINA,SANTA CATARINA,-27.5704,-48.9879
238,ANGICAL,BAHIA,-12.0063,-44.7003
239,ANGICAL DO PIAUI,PIAUI,-6.08786,-42.74
240,ANGICO,TOCANTINS,-6.39179,-47.8611
241,ANGICOS,RIO GRANDE DO NORTE,-5.65792,-36.6094
242,ANGRA DOS REIS,RIO DE JANEIRO,-23.0011,-44.3196
243,ANGUERA,BAHIA,-12.1462,-39.2462
244,ANGULO,PARANA,-23.1946,-51.9154
245,ANHANGUERA,GOIAS,-18.3339,-48.2204
246,ANHEMBI,SAO PAULO,-22.793000000000003,-48.1336
247,ANHUMAS,SAO PAULO,-22.2934,-51.3895
248,ANICUNS,GOIAS,-16.4642,-49.9617
249,ANISIO DE ABREU,PIAUI,-9.18564,-43.0494
250,ANITA GARIBALDI,SANTA CATARINA,-27.6897,-51.1271
251,ANITAPOLIS,SANTA CATARINA,-27.9012,-49.1316
252,ANORI,AMAZONAS,-3.74603,-61.6575
253,ANTA GORDA,RIO GRANDE DO SUL,-28.9698,-52.0102
254,ANTAS,BAHIA,-10.3856,-38.3401
255,ANTONINA,PARANA,-25.4386,-48.7191
256,ANTONINA DO NORTE,CEARA,-6.769189999999999,-39.986999999999995
257,ANTONIO ALMEIDA,PIAUI,-7.21276,-44.1889
258,ANTONIO CARDOSO,BAHIA,-12.4335,-39.1176
259,ANTONIO CARLOS,SANTA CATARINA,-27.5191,-48.766000000000005
260,ANTONIO CARLOS,MINAS GERAIS,-21.320999999999998,-43.7451
261,ANTONIO DIAS,MINAS GERAIS,-19.6491,-42.8732
262,ANTONIO GONCALVES,BAHIA,-10.5767,-40.2785
263,ANTONIO JOAO,MATO GROSSO DO SUL,-22.1927,-55.9517
264,ANTONIO MARTINS,RIO GRANDE DO NORTE,-6.21367,-37.8834
265,ANTONIO OLINTO,PARANA,-25.9804,-50.1972
266,ANTONIO PRADO,RIO GRANDE DO SUL,-28.8565,-51.2883
267,ANTONIO PRADO DE MINAS,MINAS GERAIS,-21.0192,-42.1109
268,APARECIDA,PARAIBA,-6.784660000000001,-38.0803
269,APARECIDA,SAO PAULO,-22.8495,-45.2325
270,APARECIDA D'OESTE,SAO PAULO,-20.4487,-50.8835
271,APARECIDA DE GOIANIA,GOIAS,-16.8198,-49.2469
272,APARECIDA DO RIO DOCE,GOIAS,-18.2941,-51.1516
273,APARECIDA DO RIO NEGRO,TOCANTINS,-9.94139,-47.9638
274,APARECIDA DO TABOADO,MATO GROSSO DO SUL,-20.0873,-51.0961
275,APERIBE,RIO DE JANEIRO,-21.6252,-42.1017
276,APIACA,ESPIRITO SANTO,-21.1523,-41.5693
277,APIACAS,MATO GROSSO,-9.539810000000001,-57.4587
278,APIAI,SAO PAULO,-24.5108,-48.8443
279,APICUM-ACU,MARANHAO,-1.45862,-45.0864
280,APIUNA,SANTA CATARINA,-27.0375,-49.3885
281,APODI,RIO GRANDE DO NORTE,-5.653490000000001,-37.7946
282,APORA,BAHIA,-11.6577,-38.0814
283,APORE,GOIAS,-18.9607,-51.9232
284,APUAREMA,BAHIA,-13.8542,-39.7501
285,APUCARANA,PARANA,-23.55,-51.4635
286,APUI,AMAZONAS,-7.194089999999999,-59.896
287,APUIARES,CEARA,-3.94506,-39.4359
288,AQUIDABA,SERGIPE,-10.277999999999999,-37.0148
289,AQUIDAUANA,MATO GROSSO DO SUL,-20.4666,-55.7868
290,AQUIRAZ,CEARA,-3.89929,-38.3896
