,Admin2,Province_State,Lat,Long_
1047,CAPANEMA,PARA,-1.20529,-47.1778
1048,CAPANEMA,PARANA,-25.6691,-53.8055
1049,CAPAO ALTO,SANTA CATARINA,-27.9389,-50.5098
1050,CAPAO BONITO,SAO PAULO,-24.0113,-48.3482
1051,CAPAO BONITO DO SUL,RIO GRANDE DO SUL,-28.1254,-51.3961
1052,CAPAO DA CANOA,RIO GRANDE DO SUL,-29.7642,-50.0282
1053,CAPAO DO CIPO,RIO GRANDE DO SUL,-28.9312,-54.5558
1054,CAPAO DO LEAO,RIO GRANDE DO SUL,-31.7565,-52.4889
1055,CAPARAO,MINAS GERAIS,-20.5289,-41.9061
1056,CAPELA,ALAGOAS,-9.41504,-36.0826
1057,CAPELA,SERGIPE,-10.5069,-37.0628
1058,CAPELA DE SANTANA,RIO GRANDE DO SUL,-29.6961,-51.328
1059,CAPELA DO ALTO,SAO PAULO,-23.4685,-47.7388
1060,CAPELA DO ALTO ALEGRE,BAHIA,-11.6658,-39.8349
1061,CAPELA NOVA,MINAS GERAIS,-20.9179,-43.622
1062,CAPELINHA,MINAS GERAIS,-17.6888,-42.5147
1063,CAPETINGA,MINAS GERAIS,-20.6163,-47.0571
1064,CAPIM,PARAIBA,-6.916239999999999,-35.1673
1065,CAPIM BRANCO,MINAS GERAIS,-19.5471,-44.1304
1066,CAPIM GROSSO,BAHIA,-11.3797,-40.0089
1067,CAPINOPOLIS,MINAS GERAIS,-18.6862,-49.5706
1068,CAPINZAL,SANTA CATARINA,-27.3473,-51.6057
1069,CAPINZAL DO NORTE,MARANHAO,-4.7236,-44.328
1070,CAPISTRANO,CEARA,-4.45569,-38.9048
1071,CAPITAO,RIO GRANDE DO SUL,-29.2674,-51.9853
1072,CAPITAO ANDRADE,MINAS GERAIS,-19.0748,-41.8614
1073,CAPITAO DE CAMPOS,PIAUI,-4.457,-41.943999999999996
1074,CAPITAO ENEAS,MINAS GERAIS,-16.3265,-43.7084
1075,CAPITAO GERVASIO OLIVEIRA,PIAUI,-8.49655,-41.81399999999999
1076,CAPITAO LEONIDAS MARQUES,PARANA,-25.4816,-53.6112
1077,CAPITAO POCO,PARA,-1.74785,-47.0629
1078,CAPITOLIO,MINAS GERAIS,-20.6164,-46.0493
1079,CAPIVARI,SAO PAULO,-22.9951,-47.5071
1080,CAPIVARI DE BAIXO,SANTA CATARINA,-28.4498,-48.9631
1081,CAPIVARI DO SUL,RIO GRANDE DO SUL,-30.1383,-50.5152
1082,CAPIXABA,ACRE,-10.565999999999999,-67.686
1083,CAPOEIRAS,PERNAMBUCO,-8.73423,-36.6306
1084,CAPUTIRA,MINAS GERAIS,-20.1703,-42.2683
1085,CARAA,RIO GRANDE DO SUL,-29.7869,-50.4316
1086,CARACARAI,RORAIMA,1.8276599999999998,-61.1304
1087,CARACOL,PIAUI,-9.27933,-43.32899999999999
1088,CARACOL,MATO GROSSO DO SUL,-22.011,-57.0277
1089,CARAGUATATUBA,SAO PAULO,-23.6125,-45.4125
1090,CARAI,MINAS GERAIS,-17.1862,-41.7004
1091,CARAIBAS,BAHIA,-14.7177,-41.2603
1092,CARAMBEI,PARANA,-24.9152,-50.0986
1093,CARANAIBA,MINAS GERAIS,-20.8707,-43.7417
1094,CARANDAI,MINAS GERAIS,-20.9566,-43.81100000000001
1095,CARANGOLA,MINAS GERAIS,-20.7343,-42.0313
1096,CARAPEBUS,RIO DE JANEIRO,-22.1821,-41.663000000000004
1097,CARAPICUIBA,SAO PAULO,-23.5235,-46.8407
1098,CARATINGA,MINAS GERAIS,-19.7868,-42.1292
1099,CARAUARI,AMAZONAS,-4.88161,-66.9086
1100,CARAUBAS,RIO GRANDE DO NORTE,-5.783869999999999,-37.5586
1101,CARAUBAS,PARAIBA,-7.72049,-36.492
1102,CARAUBAS DO PIAUI,PIAUI,-3.47525,-41.8425
1103,CARAVELAS,BAHIA,-17.7268,-39.2597
1104,CARAZINHO,RIO GRANDE DO SUL,-28.2958,-52.7933
1105,CARBONITA,MINAS GERAIS,-17.5255,-43.0137
1106,CARDEAL DA SILVA,BAHIA,-11.9472,-37.9469
1107,CARDOSO,SAO PAULO,-20.08,-49.9183
1108,CARDOSO MOREIRA,RIO DE JANEIRO,-21.4846,-41.6165
1109,CAREACU,MINAS GERAIS,-22.0424,-45.696000000000005
1110,CAREIRO,AMAZONAS,-3.7680300000000004,-60.369
1111,CAREIRO DA VARZEA,AMAZONAS,-3.3139999999999996,-59.5557
1112,CARIACICA,ESPIRITO SANTO,-20.2632,-40.4165
1113,CARIDADE,CEARA,-4.225140000000001,-39.1912
1114,CARIDADE DO PIAUI,PIAUI,-7.73435,-40.9848
1115,CARINHANHA,BAHIA,-14.2985,-43.7724
1116,CARIRA,SERGIPE,-10.3524,-37.7002
1117,CARIRE,CEARA,-3.94858,-40.476
1118,CARIRI DO TOCANTINS,TOCANTINS,-11.8881,-49.1609
1119,CARIRIACU,CEARA,-7.02808,-39.2828
1120,CARIUS,CEARA,-6.52428,-39.4916
1121,CARLINDA,MATO GROSSO,-9.949119999999999,-55.8417
1122,CARLOPOLIS,PARANA,-23.4269,-49.7235
1123,CARLOS BARBOSA,RIO GRANDE DO SUL,-29.2969,-51.5028
1124,CARLOS CHAGAS,MINAS GERAIS,-17.6973,-40.7723
1125,CARLOS GOMES,RIO GRANDE DO SUL,-27.7167,-51.9121
1126,CARMESIA,MINAS GERAIS,-19.0877,-43.1382
1127,CARMO,RIO DE JANEIRO,-21.930999999999997,-42.6046
1128,CARMO DA CACHOEIRA,MINAS GERAIS,-21.4633,-45.2201
1129,CARMO DA MATA,MINAS GERAIS,-20.5575,-44.8735
1130,CARMO DE MINAS,MINAS GERAIS,-22.1204,-45.1307
1131,CARMO DO CAJURU,MINAS GERAIS,-20.1912,-44.7664
1132,CARMO DO PARANAIBA,MINAS GERAIS,-18.991,-46.3167
1133,CARMO DO RIO CLARO,MINAS GERAIS,-20.9736,-46.1149
1134,CARMO DO RIO VERDE,GOIAS,-15.3549,-49.708
1135,CARMOLANDIA,TOCANTINS,-7.03262,-48.3978
1136,CARMOPOLIS,SERGIPE,-10.6449,-36.9887
1137,CARMOPOLIS DE MINAS,MINAS GERAIS,-20.5396,-44.6336
1138,CARNAIBA,PERNAMBUCO,-7.793419999999999,-37.7946
1139,CARNAUBA DOS DANTAS,RIO GRANDE DO NORTE,-6.55015,-36.5868
1140,CARNAUBAIS,RIO GRANDE DO NORTE,-5.34181,-36.8335
1141,CARNAUBAL,CEARA,-4.15985,-40.9413
1142,CARNAUBEIRA DA PENHA,PERNAMBUCO,-8.31799,-38.7512
1143,CARNEIRINHO,MINAS GERAIS,-19.6987,-50.6894
1144,CARNEIROS,ALAGOAS,-9.484760000000001,-37.3773
1145,CAROEBE,RORAIMA,0.8842030000000001,-59.6959
1146,CAROLINA,MARANHAO,-7.335839999999999,-47.4634
1147,CARPINA,PERNAMBUCO,-7.8456600000000005,-35.2514
1148,CARRANCAS,MINAS GERAIS,-21.4898,-44.6446
1149,CARRAPATEIRA,PARAIBA,-7.03414,-38.3399
1150,CARRASCO BONITO,TOCANTINS,-5.31415,-48.0314
1151,CARUARU,PERNAMBUCO,-8.28455,-35.9699
1152,CARUTAPERA,MARANHAO,-1.19696,-46.0085
1153,CARVALHOPOLIS,MINAS GERAIS,-21.7735,-45.8421
1154,CARVALHOS,MINAS GERAIS,-22.0,-44.4632
1155,CASA BRANCA,SAO PAULO,-21.7708,-47.0852
1156,CASA GRANDE,MINAS GERAIS,-20.7925,-43.9343
1157,CASA NOVA,BAHIA,-9.16408,-40.974
1158,CASCA,RIO GRANDE DO SUL,-28.5605,-51.9815
1159,CASCALHO RICO,MINAS GERAIS,-18.5772,-47.8716
1160,CASCAVEL,PARANA,-24.9573,-53.458999999999996
1161,CASCAVEL,CEARA,-4.12967,-38.2412
1162,CASEARA,TOCANTINS,-9.27612,-49.9521
1163,CASEIROS,RIO GRANDE DO SUL,-28.2582,-51.6861
1164,CASIMIRO DE ABREU,RIO DE JANEIRO,-22.4812,-42.2066
1165,CASINHAS,PERNAMBUCO,-7.7408399999999995,-35.7206
1166,CASSERENGUE,PARAIBA,-6.779539999999999,-35.8179
1167,CASSIA,MINAS GERAIS,-20.5831,-46.9201
1168,CASSIA DOS COQUEIROS,SAO PAULO,-21.2801,-47.1643
1169,CASSILANDIA,MATO GROSSO DO SUL,-19.1179,-51.7313
1170,CASTANHAL,PARA,-1.29797,-47.9167
1171,CASTANHEIRA,MATO GROSSO,-11.1251,-58.6081
1172,CASTANHEIRAS,RONDONIA,-11.4253,-61.9482
1173,CASTELANDIA,GOIAS,-18.0921,-50.203
1174,CASTELO,ESPIRITO SANTO,-20.6033,-41.2031
1175,CASTELO DO PIAUI,PIAUI,-5.31869,-41.5499
1176,CASTILHO,SAO PAULO,-20.8689,-51.4884
1177,CASTRO,PARANA,-24.7891,-50.0108
1178,CASTRO ALVES,BAHIA,-12.7579,-39.4248
1179,CATAGUASES,MINAS GERAIS,-21.3924,-42.6896
1180,CATALAO,GOIAS,-18.1656,-47.943999999999996
1181,CATANDUVA,SAO PAULO,-21.1314,-48.977
1182,CATANDUVAS,PARANA,-25.2044,-53.1548
1183,CATANDUVAS,SANTA CATARINA,-27.069000000000003,-51.6602
1184,CATARINA,CEARA,-6.12291,-39.8736
1185,CATAS ALTAS,MINAS GERAIS,-20.0734,-43.4061
1186,CATAS ALTAS DA NORUEGA,MINAS GERAIS,-20.6901,-43.4939
1187,CATENDE,PERNAMBUCO,-8.675089999999999,-35.7024
1188,CATIGUA,SAO PAULO,-21.0519,-49.0616
1189,CATINGUEIRA,PARAIBA,-7.120080000000001,-37.6064
1190,CATOLANDIA,BAHIA,-12.31,-44.8648
1191,CATOLE DO ROCHA,PARAIBA,-6.3406199999999995,-37.747
1192,CATU,BAHIA,-12.3513,-38.3791
1193,CATUIPE,RIO GRANDE DO SUL,-28.2554,-54.0132
1194,CATUJI,MINAS GERAIS,-17.3018,-41.5276
1195,CATUNDA,CEARA,-4.6433599999999995,-40.2
1196,CATURAI,GOIAS,-16.4447,-49.4936
1197,CATURAMA,BAHIA,-13.3239,-42.2904
1198,CATURITE,PARAIBA,-7.416589999999999,-36.0306
1199,CATUTI,MINAS GERAIS,-15.3616,-42.9627
1200,CAUCAIA,CEARA,-3.7279699999999996,-38.6619
1201,CAVALCANTE,GOIAS,-13.7976,-47.4566
1202,CAXAMBU,MINAS GERAIS,-21.9753,-44.9319
1203,CAXAMBU DO SUL,SANTA CATARINA,-27.1624,-52.8807
1204,CAXIAS,MARANHAO,-4.86505,-43.3617
1205,CAXIAS DO SUL,RIO GRANDE DO SUL,-29.1629,-51.1792
1206,CAXINGO,PIAUI,-3.4190400000000003,-41.8955
1207,CEARA-MIRIM,RIO GRANDE DO NORTE,-5.64323,-35.4247
1208,CEDRAL,MARANHAO,-2.00027,-44.5281
1209,CEDRAL,SAO PAULO,-20.9009,-49.2664
1210,CEDRO,CEARA,-6.600339999999999,-39.0609
1211,CEDRO,PERNAMBUCO,-7.71179,-39.2367
1212,CEDRO DE SAO JOAO,SERGIPE,-10.2534,-36.8856
1213,CEDRO DO ABAETE,MINAS GERAIS,-19.1458,-45.711999999999996
1214,CELSO RAMOS,SANTA CATARINA,-27.6327,-51.335
1215,CENTENARIO,RIO GRANDE DO SUL,-27.7615,-51.9984
1216,CENTENARIO,TOCANTINS,-8.961030000000001,-47.3304
1217,CENTENARIO DO SUL,PARANA,-22.8188,-51.5973
1218,CENTRAL,BAHIA,-11.1376,-42.1116
1219,CENTRAL DE MINAS,MINAS GERAIS,-18.7612,-41.3143
1220,CENTRAL DO MARANHAO,MARANHAO,-2.1983099999999998,-44.8254
1221,CENTRALINA,MINAS GERAIS,-18.5852,-49.2014
1222,CENTRO DO GUILHERME,MARANHAO,-2.4489099999999997,-46.0345
1223,CENTRO NOVO DO MARANHAO,MARANHAO,-2.12696,-46.1228
1224,CEREJEIRAS,RONDONIA,-13.187000000000001,-60.8168
1225,CERES,GOIAS,-15.3061,-49.6
1226,CERQUEIRA CESAR,SAO PAULO,-23.038,-49.1655
1227,CERQUILHO,SAO PAULO,-23.1665,-47.7459
1228,CERRITO,RIO GRANDE DO SUL,-31.8419,-52.8004
1229,CERRO AZUL,PARANA,-26.0891,-52.8691
1230,CERRO BRANCO,RIO GRANDE DO SUL,-29.656999999999996,-52.9406
1231,CERRO CORA,RIO GRANDE DO NORTE,-6.03503,-36.3503
1232,CERRO GRANDE,RIO GRANDE DO SUL,-27.6106,-53.1672
1233,CERRO GRANDE DO SUL,RIO GRANDE DO SUL,-30.5905,-51.7418
1234,CERRO LARGO,RIO GRANDE DO SUL,-28.1463,-54.7428
1235,CERRO NEGRO,SANTA CATARINA,-27.7942,-50.8673
1236,CESARIO LANGE,SAO PAULO,-23.226,-47.9545
1237,CEU AZUL,PARANA,-25.1489,-53.8415
1238,CEZARINA,GOIAS,-16.9718,-49.7758
1239,CHA DE ALEGRIA,PERNAMBUCO,-8.006789999999999,-35.204
1240,CHA GRANDE,PERNAMBUCO,-8.23827,-35.4571
1241,CHA PRETA,ALAGOAS,-9.2556,-36.2983
1242,CHACARA,MINAS GERAIS,-21.6733,-43.215
1243,CHALE,MINAS GERAIS,-20.0453,-41.6897
1244,CHAPADA,RIO GRANDE DO SUL,-28.0559,-53.0665
1245,CHAPADA DA NATIVIDADE,TOCANTINS,-11.6175,-47.7486
1246,CHAPADA DE AREIA,TOCANTINS,-10.1419,-49.1403
1247,CHAPADA DO NORTE,MINAS GERAIS,-17.0881,-42.5392
1248,CHAPADA DOS GUIMARAES,MATO GROSSO,-15.4643,-55.7499
1249,CHAPADA GAUCHA,MINAS GERAIS,-15.3014,-45.6116
1250,CHAPADAO DO CEU,GOIAS,-18.4073,-52.549
1251,CHAPADAO DO LAGEADO,SANTA CATARINA,-27.5905,-49.5539
1252,CHAPADAO DO SUL,MATO GROSSO DO SUL,-18.788,-52.6263
1253,CHAPADINHA,MARANHAO,-3.73875,-43.3538
1254,CHAPECO,SANTA CATARINA,-27.1004,-52.6152
1255,CHARQUEADA,SAO PAULO,-22.5096,-47.7755
1256,CHARQUEADAS,RIO GRANDE DO SUL,-29.9625,-51.6289
1257,CHARRUA,RIO GRANDE DO SUL,-27.9493,-52.015
1258,CHAVAL,CEARA,-3.03571,-41.2435
1259,CHAVANTES,SAO PAULO,-23.0366,-49.7096
1260,CHAVES,PARA,-0.164154,-49.986999999999995
1261,CHIADOR,MINAS GERAIS,-21.9996,-43.0617
1262,CHIAPETTA,RIO GRANDE DO SUL,-27.923000000000002,-53.9419
1263,CHOPINZINHO,PARANA,-25.8515,-52.5173
1264,CHORO,CEARA,-4.83906,-39.1344
1265,CHOROZINHO,CEARA,-4.28873,-38.4986
1266,CHORROCHO,BAHIA,-8.9695,-39.0979
1267,CHUI,RIO GRANDE DO SUL,-33.6866,-53.4594
1268,CHUPINGUAIA,RONDONIA,-12.5611,-60.8877
1269,CHUVISCA,RIO GRANDE DO SUL,-30.7504,-51.9737
1270,CIANORTE,PARANA,-23.6599,-52.6054
1271,CICERO DANTAS,BAHIA,-10.5897,-38.3794
1272,CIDADE GAUCHA,PARANA,-23.3772,-52.9436
1273,CIDADE OCIDENTAL,GOIAS,-16.0765,-47.9252
1274,CIDELANDIA,MARANHAO,-5.17465,-47.7781
1275,CIDREIRA,RIO GRANDE DO SUL,-30.1604,-50.2337
1276,CIPO,BAHIA,-11.1032,-38.5179
1277,CIPOTANEA,MINAS GERAIS,-20.9026,-43.3629
1278,CIRIACO,RIO GRANDE DO SUL,-28.3419,-51.8741
1279,CLARAVAL,MINAS GERAIS,-20.397000000000002,-47.2768
1280,CLARO DOS POCOES,MINAS GERAIS,-17.082,-44.2061
1281,CLAUDIA,MATO GROSSO,-11.5075,-54.8835
1282,CLAUDIO,MINAS GERAIS,-20.4437,-44.7673
1283,CLEMENTINA,SAO PAULO,-21.5604,-50.4525
1284,CLEVELANDIA,PARANA,-26.4043,-52.3508
1285,COARACI,BAHIA,-14.637,-39.5556
1286,COARI,AMAZONAS,-4.094119999999999,-63.1441
1287,COCAL,PIAUI,-3.4727900000000003,-41.5546
1288,COCAL DE TELHA,PIAUI,-4.5571,-41.9587
1289,COCAL DO SUL,SANTA CATARINA,-28.5986,-49.3335
1290,COCAL DOS ALVES,PIAUI,-3.6204699999999996,-41.4402
1291,COCALINHO,MATO GROSSO,-14.3903,-51.0001
1292,COCALZINHO DE GOIAS,GOIAS,-15.7914,-48.7747
1293,COCOS,BAHIA,-14.1814,-44.5352
1294,CODAJAS,AMAZONAS,-3.8305300000000004,-62.0658
1295,CODO,MARANHAO,-4.45562,-43.8924
1296,COELHO NETO,MARANHAO,-4.25245,-43.0108
1297,COIMBRA,MINAS GERAIS,-20.8535,-42.8008
1298,COITE DO NOIA,ALAGOAS,-9.63348,-36.5845
1299,COIVARAS,PIAUI,-5.09224,-42.208
1300,COLARES,PARA,-0.936423,-48.2803
1301,COLATINA,ESPIRITO SANTO,-19.5493,-40.6269
1302,COLIDER,MATO GROSSO,-10.8135,-55.461000000000006
1303,COLINA,SAO PAULO,-20.7114,-48.5387
1304,COLINAS,RIO GRANDE DO SUL,-29.3948,-51.8556
1305,COLINAS,MARANHAO,-6.03199,-44.2543
1306,COLINAS DO SUL,GOIAS,-14.1528,-48.076
1307,COLINAS DO TOCANTINS,TOCANTINS,-8.05764,-48.4757
1308,COLMEIA,TOCANTINS,-8.72463,-48.7638
1309,COLNIZA,MATO GROSSO,-9.461210000000001,-59.2252
1310,COLOMBIA,SAO PAULO,-20.1768,-48.6865
1311,COLOMBO,PARANA,-25.2925,-49.2262
1312,COLONIA DO GURGUEIA,PIAUI,-8.1837,-43.794
1313,COLONIA DO PIAUI,PIAUI,-7.22651,-42.1756
1314,COLONIA LEOPOLDINA,ALAGOAS,-8.91806,-35.7214
1315,COLORADO,RIO GRANDE DO SUL,-28.5258,-52.9928
1316,COLORADO,PARANA,-22.8374,-51.9743
1317,COLORADO DO OESTE,RONDONIA,-13.1174,-60.5454
1318,COLUNA,MINAS GERAIS,-18.2311,-42.8352
1319,COMBINADO,TOCANTINS,-12.7917,-46.5388
1320,COMENDADOR GOMES,MINAS GERAIS,-19.6973,-49.0789
1321,COMENDADOR LEVY GASPARIAN,RIO DE JANEIRO,-22.0404,-43.214
1322,COMERCINHO,MINAS GERAIS,-16.2963,-41.7945
1323,COMODORO,MATO GROSSO,-13.6614,-59.7848
1324,CONCEICAO,PARAIBA,-7.5510600000000005,-38.5014
1325,CONCEICAO DA APARECIDA,MINAS GERAIS,-21.096,-46.2049
1326,CONCEICAO DA BARRA,ESPIRITO SANTO,-18.5883,-39.7362
1327,CONCEICAO DA BARRA DE MINAS,MINAS GERAIS,-21.1316,-44.4729
1328,CONCEICAO DA FEIRA,BAHIA,-12.5078,-38.9978
1329,CONCEICAO DAS ALAGOAS,MINAS GERAIS,-19.9172,-48.3839
1330,CONCEICAO DAS PEDRAS,MINAS GERAIS,-22.1576,-45.4562
1331,CONCEICAO DE IPANEMA,MINAS GERAIS,-19.9326,-41.6908
1332,CONCEICAO DE MACABU,RIO DE JANEIRO,-22.0834,-41.8719
1333,CONCEICAO DO ALMEIDA,BAHIA,-12.7836,-39.1715
1334,CONCEICAO DO ARAGUAIA,PARA,-8.26136,-49.2689
1335,CONCEICAO DO CANINDE,PIAUI,-7.87638,-41.5942
1336,CONCEICAO DO CASTELO,ESPIRITO SANTO,-20.3639,-41.2417
1337,CONCEICAO DO COITE,BAHIA,-11.56,-39.2808
1338,CONCEICAO DO JACUIPE,BAHIA,-12.3268,-38.7684
1339,CONCEICAO DO LAGO-ACU,MARANHAO,-3.8514199999999996,-44.8895
1340,CONCEICAO DO MATO DENTRO,MINAS GERAIS,-19.0344,-43.4221
1341,CONCEICAO DO PARA,MINAS GERAIS,-19.7456,-44.8945
1342,CONCEICAO DO RIO VERDE,MINAS GERAIS,-21.8778,-45.086999999999996
1343,CONCEICAO DO TOCANTINS,TOCANTINS,-12.2209,-47.2951
1344,CONCEICAO DOS OUROS,MINAS GERAIS,-22.4078,-45.7996
1345,CONCHAL,SAO PAULO,-22.3375,-47.1729
1346,CONCHAS,SAO PAULO,-23.0154,-48.0134
1347,CONCORDIA,SANTA CATARINA,-27.2335,-52.026
1348,CONCORDIA DO PARA,PARA,-1.9923799999999998,-47.9422
1349,CONDADO,PARAIBA,-6.89831,-37.606
1350,CONDADO,PERNAMBUCO,-7.58787,-35.0999
1351,CONDE,PARAIBA,-7.257460000000001,-34.8999
1352,CONDE,BAHIA,-11.8179,-37.6131
1353,CONDEUBA,BAHIA,-14.9022,-41.9718
1354,CONDOR,RIO GRANDE DO SUL,-28.2075,-53.4905
1355,CONEGO MARINHO,MINAS GERAIS,-15.2892,-44.4181
1356,CONFINS,MINAS GERAIS,-19.6282,-43.9931
1357,CONFRESA,MATO GROSSO,-10.6437,-51.5699
1358,CONGO,PARAIBA,-7.790780000000001,-36.6581
1359,CONGONHAL,MINAS GERAIS,-22.1488,-46.043
1360,CONGONHAS,MINAS GERAIS,-20.4958,-43.851000000000006
1361,CONGONHAS DO NORTE,MINAS GERAIS,-18.8021,-43.6767
1362,CONGONHINHAS,PARANA,-23.5493,-50.5569
1363,CONQUISTA,MINAS GERAIS,-19.9312,-47.5492
1364,CONQUISTA D'OESTE,MATO GROSSO,-14.5381,-59.5444
1365,CONSELHEIRO LAFAIETE,MINAS GERAIS,-20.6634,-43.7846
1366,CONSELHEIRO MAIRINCK,PARANA,-23.623,-50.1707
1367,CONSELHEIRO PENA,MINAS GERAIS,-19.1789,-41.4736
1368,CONSOLACAO,MINAS GERAIS,-22.5493,-45.9255
1369,CONSTANTINA,RIO GRANDE DO SUL,-27.732,-52.9938
1370,CONTAGEM,MINAS GERAIS,-19.9321,-44.0539
1371,CONTENDA,PARANA,-25.6788,-49.535
1372,CONTENDAS DO SINCORA,BAHIA,-13.7537,-41.048
1373,COQUEIRAL,MINAS GERAIS,-21.1858,-45.4366
1374,COQUEIRO BAIXO,RIO GRANDE DO SUL,-29.1802,-52.0942
1375,COQUEIRO SECO,ALAGOAS,-9.63715,-35.7994
1376,COQUEIROS DO SUL,RIO GRANDE DO SUL,-28.1194,-52.7842
1377,CORACAO DE JESUS,MINAS GERAIS,-16.6841,-44.3635
1378,CORACAO DE MARIA,BAHIA,-12.2333,-38.7487
1379,CORBELIA,PARANA,-24.7971,-53.3006
1380,CORDEIRO,RIO DE JANEIRO,-22.0267,-42.3648
1381,CORDEIROPOLIS,SAO PAULO,-22.4778,-47.4519
1382,CORDEIROS,BAHIA,-15.0356,-41.9308
1383,CORDILHEIRA ALTA,SANTA CATARINA,-26.9844,-52.6056
1384,CORDISBURGO,MINAS GERAIS,-19.1224,-44.3224
1385,CORDISLANDIA,MINAS GERAIS,-21.7891,-45.6999
1386,COREAU,CEARA,-3.5415,-40.6587
1387,COREMAS,PARAIBA,-7.00712,-37.9346
1388,CORGUINHO,MATO GROSSO DO SUL,-19.8243,-54.8281
1389,CORIBE,BAHIA,-13.8232,-44.4586
1390,CORINTO,MINAS GERAIS,-18.369,-44.4542
1391,CORNELIO PROCOPIO,PARANA,-23.1829,-50.6498
1392,COROACI,MINAS GERAIS,-18.6156,-42.2791
1393,COROADOS,SAO PAULO,-21.3521,-50.2859
1394,COROATA,MARANHAO,-4.1344199999999995,-44.1244
1395,COROMANDEL,MINAS GERAIS,-18.4734,-47.1933
1396,CORONEL BARROS,RIO GRANDE DO SUL,-28.3921,-54.0686
1397,CORONEL BICACO,RIO GRANDE DO SUL,-27.7197,-53.7022
1398,CORONEL DOMINGOS SOARES,PARANA,-26.2277,-52.0356
1399,CORONEL EZEQUIEL,RIO GRANDE DO NORTE,-6.3748,-36.2223
1400,CORONEL FABRICIANO,MINAS GERAIS,-19.5179,-42.6276
1401,CORONEL FREITAS,SANTA CATARINA,-26.9057,-52.7011
1402,CORONEL JOAO PESSOA,RIO GRANDE DO NORTE,-6.24974,-38.4441
1403,CORONEL JOAO SA,BAHIA,-10.2847,-37.9198
1404,CORONEL JOSE DIAS,PIAUI,-8.81397,-42.5232
1405,CORONEL MACEDO,SAO PAULO,-23.6261,-49.31
1406,CORONEL MARTINS,SANTA CATARINA,-26.511,-52.6694
1407,CORONEL MURTA,MINAS GERAIS,-16.6148,-42.184
1408,CORONEL PACHECO,MINAS GERAIS,-21.5898,-43.256
1409,CORONEL PILAR,RIO GRANDE DO SUL,-29.2695,-51.6847
1410,CORONEL SAPUCAIA,MATO GROSSO DO SUL,-23.2724,-55.5278
1411,CORONEL VIVIDA,PARANA,-25.9767,-52.5641
1412,CORONEL XAVIER CHAVES,MINAS GERAIS,-21.0277,-44.2206
1413,CORREGO DANTA,MINAS GERAIS,-19.8198,-45.9032
1414,CORREGO DO BOM JESUS,MINAS GERAIS,-22.6269,-46.0241
1415,CORREGO DO OURO,GOIAS,-16.2918,-50.5503
1416,CORREGO FUNDO,MINAS GERAIS,-20.4474,-45.5617
1417,CORREGO NOVO,MINAS GERAIS,-19.8361,-42.3988
1418,CORREIA PINTO,SANTA CATARINA,-27.5877,-50.3614
1419,CORRENTE,PIAUI,-10.4333,-45.1633
1420,CORRENTES,PERNAMBUCO,-9.12117,-36.3244
1421,CORRENTINA,BAHIA,-13.3477,-44.6333
1422,CORTES,PERNAMBUCO,-8.47443,-35.5468
1423,CORUMBA,MATO GROSSO DO SUL,-19.0077,-57.651
1424,CORUMBA DE GOIAS,GOIAS,-15.9245,-48.8117
1425,CORUMBAIBA,GOIAS,-18.1415,-48.5626
1426,CORUMBATAI,SAO PAULO,-22.2213,-47.6215
1427,CORUMBATAI DO SUL,PARANA,-24.101,-52.1177
1428,CORUMBIARA,RONDONIA,-12.9551,-60.8947
1429,CORUPA,SANTA CATARINA,-26.4246,-49.246
1430,CORURIPE,ALAGOAS,-10.1276,-36.1717
1431,COSMOPOLIS,SAO PAULO,-22.6419,-47.1926
1432,COSMORAMA,SAO PAULO,-20.4755,-49.7827
1433,COSTA MARQUES,RONDONIA,-12.4367,-64.22800000000001
1434,COSTA RICA,MATO GROSSO DO SUL,-18.5432,-53.1287
1435,COTEGIPE,BAHIA,-12.0228,-44.2566
1436,COTIA,SAO PAULO,-23.6022,-46.919
1437,COTIPORA,RIO GRANDE DO SUL,-28.9891,-51.6971
1438,COTRIGUACU,MATO GROSSO,-9.85656,-58.4192
1439,COUTO DE MAGALHAES DE MINAS,MINAS GERAIS,-18.0727,-43.4648
1440,COUTO MAGALHAES,TOCANTINS,-8.28411,-49.2473
1441,COXILHA,RIO GRANDE DO SUL,-28.128,-52.3023
1442,COXIM,MATO GROSSO DO SUL,-18.5013,-54.751000000000005
1443,COXIXOLA,PARAIBA,-7.62365,-36.6064
1444,CRAIBAS,ALAGOAS,-9.6178,-36.7697
1445,CRATEUS,CEARA,-5.167680000000001,-40.6536
1446,CRATO,CEARA,-7.2153,-39.4103
1447,CRAVINHOS,SAO PAULO,-21.338,-47.7324
1448,CRAVOLANDIA,BAHIA,-13.3531,-39.8031
1449,CRICIUMA,SANTA CATARINA,-28.6723,-49.3729
1450,CRISOLITA,MINAS GERAIS,-17.2381,-40.9184
1451,CRISOPOLIS,BAHIA,-11.5059,-38.1515
1452,CRISSIUMAL,RIO GRANDE DO SUL,-27.4999,-54.0994
1453,CRISTAIS,MINAS GERAIS,-20.8733,-45.5167
1454,CRISTAIS PAULISTA,SAO PAULO,-20.4036,-47.4209
1455,CRISTAL,RIO GRANDE DO SUL,-31.0046,-52.0436
1456,CRISTAL DO SUL,RIO GRANDE DO SUL,-27.451999999999998,-53.2422
1457,CRISTALANDIA,TOCANTINS,-10.5985,-49.1942
